word,count,proportion
pepper,457,0.1702682563338301
salt,426,0.1587183308494784
oil,362,0.13487332339791355
beef,278,0.10357675111773472
garlic,246,0.09165424739195231
olive,214,0.07973174366616989
red,198,0.07377049180327869
cloves,182,0.06780923994038748
onion,161,0.05998509687034277
sauce,160,0.05961251862891207
